Resonator,Node,SkillName,MV,Resonance E.,Concerto E.,Damage Type,Off-Tune Values,SpecialEnergy1,SpecialEnergy2,SpecialEnergy3,SpecialEnergy4,SpecialEnergy5,,
Denia,Normal Attack,Dreamweaver's Banquet,56.26%,0.79,1.58,2,2516,-18,0,8,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,21.10%,0.3,0.59,2,944,-7,0,4,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,62.39%,1.31,2.62,0,4184,0,0,6,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,93.58%,1.31,2.62,2,4184,-30,0,12,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,108.08%,2.27,4.53,0,2448,0,0,10,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,162.11%,2.27,4.53,2,2448,-52,0,20,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,35.54%,0.75,1.49,0,2384,0,0,3,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,82.92%,1.74,3.48,0,5561,0,0,8,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,53.31%,0.75,1.49,2,2384,-18,0,6,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,124.38%,1.74,3.48,2,5561,-40,0,16,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,80.76%,1.7,3.39,1,5416,10,0,0,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,137.06%,2.88,5.75,1,9192,0,0,13,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,205.59%,2.88,5.75,2,9192,-66,0,26,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,29.59%,0.62,1.24,0,1984,4,0,0,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,44.38%,0.93,1.86,0,2976,6,0,0,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,29.59%,0.62,1.24,1,1984,0,0,3,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,44.38%,0.62,1.24,2,1984,-15,0,6,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,44.38%,0.93,1.86,1,2976,0,0,4,0,0,,
Denia,Normal Attack,Dreamweaver's Banquet,66.57%,0.93,1.86,2,2976,-22,0,8,0,0,,
Denia,Resonance Skill,Bubbles and Baits,31.10%,0.66,1.31,4,2086,0,0,3,0,0,,
Denia,Resonance Skill,Bubbles and Baits,14.52%,0.31,0.61,4,974,0,0,2,0,0,,
Denia,Resonance Skill,Bubbles and Baits,17.42%,0.04,4.07,4,1168,0,0,0,0,0,,
Denia,Resonance Skill,Bubbles and Baits,52.25%,0.1,12.19,4,3504,0,0,0,0,0,,
Denia,Resonance Skill,Bubbles and Baits,217.42%,0.04,4.07,2,1168,0,0,0,0,0,,
Denia,Resonance Skill,Bubbles and Baits,652.25%,0.1,12.19,2,3504,0,0,0,0,0,,
Denia,Resonance Skill,Bubbles and Baits,34.68%,0.73,1.46,2,2326,0,0,0,0,0,,
Denia,Resonance Skill,Bubbles and Baits,280.03%,2.35,14.7,2,7512,0,0,0,0,0,,
Denia,Resonance Skill,Bubbles and Baits,448.04%,2.35,14.7,2,7512,0,0,0,0,0,,
Denia,Resonance Skill,Bubbles and Baits,616.06%,2.35,14.7,2,7512,0,0,0,0,0,,
Denia,Resonance Skill,Bubbles and Baits,784.07%,2.35,14.7,2,7512,0,0,0,0,0,,
Denia,Resonance Skill,Bubbles and Baits,952.09%,2.35,14.7,2,7512,0,0,0,0,0,,
Denia,Resonance Skill,Bubbles and Baits,48.55%,0.73,1.46,2,2326,0,0,0,0,0,,
Denia,Resonance Skill,Bubbles and Baits,392.04%,2.35,14.7,2,7512,0,0,0,0,0,,
Denia,Resonance Skill,Bubbles and Baits,627.26%,2.35,14.7,2,7512,0,0,0,0,0,,
Denia,Resonance Skill,Bubbles and Baits,862.48%,2.35,14.7,2,7512,0,0,0,0,0,,
Denia,Resonance Skill,Bubbles and Baits,1097.70%,2.35,14.7,2,7512,0,0,0,0,0,,
Denia,Resonance Skill,Bubbles and Baits,1332.92%,2.35,14.7,2,7512,0,0,0,0,0,,
Denia,Resonance Liberation,Final Act,397.62%,0,0,2,48000,0,0,0,0,0,,
Denia,Resonance Liberation,Final Act,198.81%,7.5,0,2,13132,0,0,0,0,0,,
Denia,Resonance Liberation,Final Act,357.86%,7.5,0,2,13132,0,0,0,0,0,,
Denia,Intro Skill,Formal Greetings,104.62%,10,0,3,7016,0,0,0,0,0,,
Denia,Intro Skill,Formal Greetings,51.74%,3.34,0,3,3470,0,0,0,0,0,,
Denia,Forte Circuit,"""Flawless""",136.33%,0,0,2,0,0,0,0,0,0,,
